pool address, buy token address, buy token symbol, buy token amount, sell token address, sell token symbol, sell token amount, sender, receiver, dex, pool id, transaction hash, block number
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1.49028360080256E+021,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,9.3E+017,0xb215cfebb90d91b1d2f499843800d3105b1366fc,0xb215cfebb90d91b1d2f499843800d3105b1366fc,SushiSwap,16,0xc55173d05d97d5616fec92d353602f6a9c6c0258d37aa5ad711eebe4bc7c3bd9,11965022
0x291c69fdaebd3cbe953843da243f8605a766a268,0x467bccd9d29f223bce8043b84e8c8b282827790f,TEL,1500000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.43101484233633E+016,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaef4d520430c4b8c343408f0dff4801915b8f8a4,UniSwapV2,2275,0x0a915a968c673d6b17ec9e0316fdd95f298c41c961b626c0d3e2526810bdf5dd,11965023
0x40f0e70a7d565985b967bcdb0ba5801994fc2e80,0xf0939011a9bb95c3b791f0cb546377ed2693a574,ZERO,1.57002105133574E+022,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2.86414042300005E+018,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x9e907c3f77628b157dcbcfc15f7ced488521de93,UniSwapV2,27435,0x0acd0949d3d650c91248f963092e5d184cb811d536afa14543ebad9fca6a9182,11965023
0x0c9c5daf1d7cd8b10e9fc5e7a10762f0a8d1c335,0x7d29a64504629172a429e64183d6673b9dacbfce,VXV,5.44986384063362E+020,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2.28446015818927E+017,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1637f24e84723c7ff10fc960069dc62febe51f35,UniSwapV2,216,0x0f8b59b030f68b5072467c1567b76e66599ba9c006e8c7df0e60f547cd4d1038,11965023
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.10155161537405E+016,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5E+019,0x2ba5c511a2738bfff6a8910c6e510489ce602983,0x58dc5a51fe44589beb22e8ce67720b5bc5378009,SushiSwap,16,0x19909894511b89f627824b748cbef9a1c5a7a67a68d4bae76cf1828a99e4ea40,11965023
0xffa98a091331df4600f87c9164cd27e8a5cd2405,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,9.85369574288578E+018,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,POLS,3.24819661370497E+021,0x30efcbadda0806061518831e931a2e25418581ab,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,UniSwapV2,11851,0x26ef98b10b99d595beac43347cc69183137a8d542f451d270ca0441bac93c60a,11965023
0xb6909b960dbbe7392d405429eb2b3649752b4838,0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,1.17770070693076E+021,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4.99375E+017,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,UniSwapV2,8,0x4f9cf07f5af7dca71c282425c0eb9b4fb4916e8228346729a509cd814f809379,11965023
0x755c1a8f71f4210cd7b60b9439451efcbeba33d1,0x58b6a8a3302369daec383334672404ee733ab239,LPT,4.28376737781467E+020,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1.1233932E+018,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,UniSwapV2,152,0x557f7c42ebc02e6fad90d2dc28b3ddebc8bc1694e2a9f7a43265dcc77483afa5,11965023
0x6094367ea57ff4f545e2672e024393d82a1d3f28,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1.40557243584054E+022,0xf72fcd9dcf0190923fadd44811e240ef4533fc86,mVIXY,1.136383302E+021,0x80a245441044f3e28812a340138eab1794578bf3,0x80a245441044f3e28812a340138eab1794578bf3,UniSwapV2,24831,0x65eacefd7c03ab7eb5364c6d280589ef47046120ad17884a39f6b17b42c259d2,11965023
0x146d3401b6a41122bd318ba676a01c44cb0795e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.4362906978249E+018,0x1cbb83ebcd552d5ebf8131ef8c9cd9d9bab342bc,NFY,2.75379302675416E+020,0x87e3a1148e4dc887fb76978f4f5982254c5a2895,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,14096,0x665eb87d3b803a3e949741cd902238c0b7f463f7fb0af53b3938baad6d36e926,11965023
0x20d2c17d1928ef4290bf17f922a10eaa2770bf43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.31265844339469E+017,0xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,MUSE,7.12730867355277E+018,0xcb54dec269271f74ca10e945e600bc7847188f62,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,14074,0x7014aa92b2320880730e45787c8c2c166015fb257186ee15f1fc60cf7978313c,11965023
0x2999528824a1a839d9af5cfead053236be675984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4.06250273967694E+018,0x661ab0ed68000491d98c796146bcf28c20d7c559,DOWS,2E+021,0xe68124b9cd05fa7a1f3923f1b01ab593d62d59d2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,30495,0xa1b6f248f281ea51013806f771d88b656583b6bee9f25e3c2e6576686b90bd7d,11965023
0x469506e58d4d0d7abb476dd5c0a999d46723351f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,7.33631250318782E+018,0x32a7c02e79c4ea1008dd6564b35f131428673c41,CRU,7.0503661728902E+020,0x3efccd8446c249ea7ddbfd7e1ef91ebf0698e614,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniSwapV2,9598,0xb67cadabd42848eafb515b49727421808aab3adcd4f5301c2731f0b5d5905f19,11965023
0x811beed0119b4afce20d2583eb608c6f7af1954f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6.27982537939551E+017,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,4.6436338785658E+028,0xfe6aff1cbebac89e875ec1ebdce147df7dbc23c7,0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,UniSwapV2,3286,0xc08382cb977144c3d2c736dee325abe53af714ca0be5cb0b9c9ec663bdd0687d,11965023
0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,2.86842698231456E+019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3.34641028231984E+017,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3c70cb4e44d97e732692229301581d8a737ab2cf,UniSwapV2,6156,0xd44e6604b36c1e8d96021a89358f94af9e692ae8e0efa553e5ad36de6dbf69d6,11965023
